Id,CommandeRef,ProduitReference,Quantite,PrixUnitaire
300,123,SODIV-40485,1,1586
301,123,SODIV-40309,2,2906
302,123,SODIV-40664,1,707
303,124,SODIV-40060,2,367
304,124,SODIV-40501,2,1854
305,125,SODIV-40306,10,3905
306,126,SODIV-40599,1,2772
307,126,SODIV-40537,2,2233
308,127,SODIV-40020,1,104
309,127,SODIV-40506,1,3931
310,128,SODIV-40421,1,2682
311,129,SODIV-40613,3,1434
312,129,SODIV-40059,2,2694
313,129,SODIV-40615,1,3290
314,130,SODIV-40523,1,594
315,131,SODIV-40255,1,858
316,132,SODIV-40096,2,3138
317,133,SODIV-40288,1,3051
318,133,SODIV-40034,1,3642
319,134,SODIV-40022,5,2349
320,135,SODIV-40268,1,3245
321,136,SODIV-40310,4,3297
322,136,SODIV-40065,1,2241
323,137,SODIV-40465,1,3899
324,137,SODIV-40428,1,2287
325,137,SODIV-40540,1,1522
326,138,SODIV-40540,1,1522
327,139,SODIV-40501,1,1854
328,140,SODIV-40591,3,3144
329,140,SODIV-40537,1,2233
330,141,SODIV-40366,1,641
331,141,SODIV-40525,1,3426
332,141,SODIV-40231,2,2041
333,142,SODIV-40234,2,1786
334,142,SODIV-40122,1,2794
335,142,SODIV-40496,1,3331
336,142,SODIV-40482,1,604
337,143,SODIV-40288,5,3051
338,143,SODIV-40622,1,2784
339,144,SODIV-40009,1,1020
340,145,SODIV-40562,1,3751
341,146,SODIV-40438,2,109
342,146,SODIV-40564,1,2336
343,147,SODIV-40378,1,3244
344,148,SODIV-40503,1,3144
345,148,SODIV-40220,1,3136
346,148,SODIV-40655,1,3789
347,149,SODIV-40042,1,1726
348,149,SODIV-40551,1,1593
349,149,SODIV-40242,1,1926
350,149,SODIV-40637,2,609
351,150,SODIV-40320,1,1013
352,150,SODIV-40475,5,2442
353,150,SODIV-40189,1,2945
354,151,SODIV-40375,1,1991
355,151,SODIV-40500,1,2117
356,151,SODIV-40628,3,3835
357,151,SODIV-40493,4,3874
358,152,SODIV-40353,1,3484
359,152,SODIV-40001,1,839
360,153,SODIV-40609,1,3572
361,153,SODIV-40174,1,1669
362,154,SODIV-40557,4,448
363,155,SODIV-40327,3,1137
364,155,SODIV-40341,1,1300
365,155,SODIV-40496,1,3331
366,156,SODIV-40376,1,3540
367,156,SODIV-40552,2,3465
368,156,SODIV-40350,1,1121
369,157,SODIV-40294,1,1480
370,158,SODIV-40603,1,3772
371,158,SODIV-40399,4,3771
372,158,SODIV-40422,3,2029
373,158,SODIV-40337,2,3913
374,158,SODIV-40290,10,1358
375,159,SODIV-40499,1,822
376,159,SODIV-40286,1,1375
377,160,SODIV-40005,1,1932
378,160,SODIV-40160,2,2326
379,160,SODIV-40118,5,2943
380,161,SODIV-40617,4,674
381,162,SODIV-40653,2,1397
382,162,SODIV-40178,2,2729
383,162,SODIV-40078,1,1212
384,162,SODIV-40232,10,2539
385,163,SODIV-40504,2,1200
386,163,SODIV-40203,5,2173
387,164,SODIV-40079,1,3235
388,165,SODIV-40312,1,3490
389,166,SODIV-40478,3,451
390,166,SODIV-40535,1,1215
391,166,SODIV-40416,2,2850
392,167,SODIV-40222,3,3664
393,167,SODIV-40170,2,1459
394,168,SODIV-40106,2,2064
395,169,SODIV-40306,1,3905
396,169,SODIV-40405,3,594
397,169,SODIV-40171,2,1001
398,169,SODIV-40457,1,1723
399,170,SODIV-40071,5,2670
400,170,SODIV-40273,1,3059
401,170,SODIV-40370,1,1638
402,170,SODIV-40114,4,3622
403,171,SODIV-40462,1,555
404,171,SODIV-40578,1,3371
405,172,SODIV-40620,1,3400
406,172,SODIV-40439,4,2618
407,172,SODIV-40365,1,3508
408,172,SODIV-40113,3,765
409,173,SODIV-40066,1,3166
410,174,SODIV-40590,1,2628
411,174,SODIV-40559,1,3199
412,174,SODIV-40325,3,1420
413,174,SODIV-40636,2,1373
414,175,SODIV-40380,1,3685
415,175,SODIV-40088,1,2432
416,175,SODIV-40435,3,3405
417,176,SODIV-40261,1,269
418,176,SODIV-40584,5,780
419,177,SODIV-40403,2,3185
420,177,SODIV-40481,1,715
421,177,SODIV-40441,1,544
422,177,SODIV-40393,1,2534
423,178,SODIV-40666,1,1254
424,178,SODIV-40216,1,2881
425,179,SODIV-40390,1,2123
426,179,SODIV-40233,1,2182
427,179,SODIV-40231,1,2041
428,180,SODIV-40114,5,3622
429,181,SODIV-40286,1,1375
430,181,SODIV-40516,1,1482
431,182,SODIV-40226,1,1801
432,182,SODIV-40081,1,349
433,183,SODIV-40394,5,1701
434,183,SODIV-40125,1,3904
435,184,SODIV-40198,1,1724
436,184,SODIV-40012,1,2643
437,185,SODIV-40221,1,263
438,186,SODIV-40456,1,3976
439,187,SODIV-40652,1,1618
440,187,SODIV-40593,1,1667
441,187,SODIV-40122,1,2794
442,187,SODIV-40341,3,1300
443,187,SODIV-40160,1,2326
444,188,SODIV-40407,4,2781
445,188,SODIV-40485,1,1586
446,189,SODIV-40160,3,2326
447,189,SODIV-40583,2,1517
448,189,SODIV-40099,2,83
449,190,SODIV-40417,2,2635
450,191,SODIV-40564,3,2336
451,191,SODIV-40283,5,3335
452,191,SODIV-40515,2,1917
453,192,SODIV-40322,1,3976
454,192,SODIV-40225,1,2376
455,193,SODIV-40303,1,3354
456,193,SODIV-40118,1,2943
457,193,SODIV-40223,1,3674
458,194,SODIV-40522,1,3757
459,195,SODIV-40566,2,3757
460,195,SODIV-40243,1,355
461,195,SODIV-40279,2,3702
462,195,SODIV-40002,1,2059
463,196,SODIV-40464,1,196
464,197,SODIV-40280,1,607
465,198,SODIV-40305,3,705
466,198,SODIV-40155,4,2503
467,199,SODIV-40230,10,2308
468,199,SODIV-40315,2,571
469,200,SODIV-40032,1,1326
470,200,SODIV-40308,2,2868
471,201,SODIV-40269,5,2537
472,202,SODIV-40556,1,999
473,203,SODIV-40352,1,1017
474,203,SODIV-40397,2,3520
475,203,SODIV-40118,1,2943
476,203,SODIV-40017,1,706
477,203,SODIV-40007,1,2073
478,204,SODIV-40541,4,3826
479,205,SODIV-40128,1,1107
480,205,SODIV-40510,1,1487
481,206,SODIV-40259,1,1687
482,206,SODIV-40296,1,544
483,207,SODIV-40119,2,1294
484,208,SODIV-40555,2,515
485,208,SODIV-40033,3,3444
486,209,SODIV-40403,1,3185
487,209,SODIV-40372,1,3784
488,210,SODIV-40434,3,416
489,211,SODIV-40388,1,2264
490,212,SODIV-40071,1,2670
491,212,SODIV-40498,1,3829
492,212,SODIV-40069,1,3809
493,212,SODIV-40236,1,2418
494,213,SODIV-40304,1,3834
495,213,SODIV-40354,1,945
496,213,SODIV-40630,2,378
497,213,SODIV-40295,4,910
498,214,SODIV-40660,4,1186
499,215,SODIV-40448,1,3853
500,215,SODIV-40541,4,3826
501,215,SODIV-40238,1,2956
502,216,SODIV-40546,1,713
503,217,SODIV-40548,1,1411
504,218,SODIV-40595,1,3989
505,219,SODIV-40514,4,599
506,219,SODIV-40052,1,3709
507,220,SODIV-40124,1,514
508,220,SODIV-40047,4,681
509,220,SODIV-40525,2,3426
510,220,SODIV-40139,10,3573
511,221,SODIV-40353,1,3484
512,221,SODIV-40354,1,945
513,222,SODIV-40411,4,3802
514,223,SODIV-40604,1,3402
515,224,SODIV-40347,2,683
516,224,SODIV-40334,4,3555
517,225,SODIV-40020,1,104
518,225,SODIV-40537,1,2233
519,225,SODIV-40654,1,3810
520,226,SODIV-40342,1,2805
521,227,SODIV-40513,1,2199
522,228,SODIV-40504,3,1200
523,229,SODIV-40528,2,3465
524,229,SODIV-40399,5,3771
525,230,SODIV-40277,1,2469
526,231,SODIV-40582,1,1273
527,231,SODIV-40425,2,2568
528,231,SODIV-40363,1,2733
529,232,SODIV-40260,2,1293
530,233,SODIV-40533,1,2332
531,233,SODIV-40241,2,3976
532,233,SODIV-40272,1,2001
533,234,SODIV-40624,1,2901
534,235,SODIV-40566,1,3757
535,235,SODIV-40518,5,3737
536,236,SODIV-40438,2,109
537,236,SODIV-40287,1,1025
538,236,SODIV-40650,1,2005
539,237,SODIV-40252,1,2671
540,237,SODIV-40646,1,525
541,237,SODIV-40445,3,143
542,238,SODIV-40354,1,945
543,238,SODIV-40058,1,2573
544,239,SODIV-40020,1,104
545,239,SODIV-40221,1,263
546,240,SODIV-40464,1,196
547,241,SODIV-40361,2,2140
548,242,SODIV-40062,4,3038
549,242,SODIV-40081,2,349
550,243,SODIV-40048,3,3403
551,244,SODIV-40478,2,451
552,244,SODIV-40295,10,910
553,245,SODIV-40157,4,1086
554,246,SODIV-40286,1,1375
555,247,SODIV-40173,3,3630
556,247,SODIV-40118,4,2943
557,247,SODIV-40038,1,3780
558,248,SODIV-40245,4,1361
559,249,SODIV-40625,1,450
560,250,SODIV-40361,1,2140
561,250,SODIV-40131,1,3528
562,251,SODIV-40333,1,3829
563,251,SODIV-40314,1,3891
564,251,SODIV-40223,2,3674
565,252,SODIV-40416,3,2850
566,252,SODIV-40029,3,3992
567,253,SODIV-40090,1,2825
568,253,SODIV-40003,1,402
569,254,SODIV-40098,1,817
570,254,SODIV-40654,1,3810
571,254,SODIV-40359,2,3645
572,254,SODIV-40636,2,1373
573,254,SODIV-40638,1,1406
574,255,SODIV-40198,1,1724
575,256,SODIV-40588,1,1930
576,256,SODIV-40077,1,3392
577,256,SODIV-40439,1,2618
578,257,SODIV-40160,1,2326
579,257,SODIV-40418,4,1895
580,257,SODIV-40466,10,515
581,258,SODIV-40533,1,2332
582,259,SODIV-40580,2,82
583,260,SODIV-40238,3,2956
584,260,SODIV-40510,3,1487
585,261,SODIV-40044,1,3656
586,261,SODIV-40350,3,1121
587,261,SODIV-40310,2,3297
588,261,SODIV-40594,1,2939
589,262,SODIV-40639,1,1121
590,262,SODIV-40179,1,271
591,262,SODIV-40271,1,1513
592,262,SODIV-40052,1,3709
593,262,SODIV-40368,1,2622
594,263,SODIV-40100,3,2886
595,263,SODIV-40364,3,1783
596,264,SODIV-40535,1,1215
597,264,SODIV-40128,1,1107
598,264,SODIV-40559,2,3199
599,264,SODIV-40518,1,3737
600,265,SODIV-40249,1,993
601,266,SODIV-40383,1,2867
602,267,SODIV-40562,1,3751
603,267,SODIV-40447,1,1892
604,268,SODIV-40270,2,1089
605,269,SODIV-40389,1,3336
606,269,SODIV-40510,1,1487
607,270,SODIV-40191,1,939
608,270,SODIV-40075,1,457
609,270,SODIV-40660,2,1186
610,271,SODIV-40626,1,2944
611,271,SODIV-40538,5,914
612,272,SODIV-40356,1,2113
613,272,SODIV-40480,4,3273
614,272,SODIV-40598,1,3921
615,273,SODIV-40040,1,2213
616,274,SODIV-40413,1,3839
617,274,SODIV-40513,4,2199
618,274,SODIV-40471,4,3911
619,274,SODIV-40129,1,2787
620,274,SODIV-40356,3,2113
621,275,SODIV-40569,2,1998
622,275,SODIV-40011,1,3386
623,275,SODIV-40512,4,3966
624,276,SODIV-40517,1,1112
625,276,SODIV-40111,1,200
626,276,SODIV-40429,2,3947
627,277,SODIV-40639,1,1121
628,277,SODIV-40334,3,3555
629,277,SODIV-40226,2,1801
630,278,SODIV-40290,5,1358
631,279,SODIV-40120,5,2932
632,279,SODIV-40543,1,2651
633,279,SODIV-40016,1,832
634,279,SODIV-40077,1,3392
635,280,SODIV-40392,10,3659
636,281,SODIV-40567,3,1062
637,281,SODIV-40068,2,613
638,281,SODIV-40433,4,2112
639,281,SODIV-40216,1,2881
640,282,SODIV-40446,1,2686
641,282,SODIV-40120,4,2932
642,282,SODIV-40486,1,3555
643,283,SODIV-40298,1,2119
644,284,SODIV-40204,2,2659
645,284,SODIV-40524,4,410
646,284,SODIV-40662,1,1408
647,285,SODIV-40355,1,3377
648,286,SODIV-40581,4,481
649,286,SODIV-40166,2,3407
650,286,SODIV-40092,1,3218
651,287,SODIV-40517,1,1112
652,288,SODIV-40078,5,1212
653,289,SODIV-40296,1,544
654,289,SODIV-40192,1,248
655,290,SODIV-40401,4,222
656,290,SODIV-40542,2,2620
657,290,SODIV-40343,1,3962
658,291,SODIV-40114,1,3622
659,291,SODIV-40076,2,531
660,292,SODIV-40640,10,2982
661,292,SODIV-40207,5,1595
662,293,SODIV-40202,1,225
663,294,SODIV-40428,4,2287
664,295,SODIV-40358,1,157
665,296,SODIV-40038,3,3780
666,297,SODIV-40131,1,3528
667,297,SODIV-40377,2,498
668,297,SODIV-40202,1,225
669,298,SODIV-40386,1,1830
670,299,SODIV-40206,3,2818
671,300,SODIV-40649,1,2003
672,300,SODIV-40567,1,1062
673,300,SODIV-40424,2,3708
674,300,SODIV-40643,1,720
675,301,SODIV-40177,3,1922
676,301,SODIV-40657,2,3973
677,302,SODIV-40602,10,3151
678,303,SODIV-40501,5,1854
679,303,SODIV-40646,5,525
680,303,SODIV-40255,4,858
681,304,SODIV-40323,1,2665
682,305,SODIV-40216,3,2881
683,305,SODIV-40586,1,3596
684,305,SODIV-40040,1,2213
685,305,SODIV-40013,2,1819
686,305,SODIV-40414,1,1290
687,306,SODIV-40100,1,2886
688,307,SODIV-40280,2,607
689,307,SODIV-40573,1,2604
690,308,SODIV-40046,1,2357
691,309,SODIV-40151,1,2736
692,309,SODIV-40354,1,945
693,310,SODIV-40544,3,1971
694,310,SODIV-40307,2,1660
695,310,SODIV-40452,1,936
696,310,SODIV-40499,2,822
697,310,SODIV-40184,10,3475
698,311,SODIV-40165,1,2245
699,311,SODIV-40259,10,1687
700,311,SODIV-40454,5,182
701,312,SODIV-40478,4,451
702,313,SODIV-40597,1,2985
703,313,SODIV-40043,1,2726
704,314,SODIV-40516,2,1482
705,314,SODIV-40607,2,1072
706,314,SODIV-40239,1,1748
707,315,SODIV-40052,1,3709
708,315,SODIV-40031,1,282
709,315,SODIV-40009,1,1020
710,316,SODIV-40481,3,715
711,317,SODIV-40024,3,642
712,318,SODIV-40121,1,1267
713,318,SODIV-40008,1,2521
714,318,SODIV-40420,1,3358
715,319,SODIV-40483,1,1797
716,319,SODIV-40183,2,1050
717,320,SODIV-40285,1,3655
718,321,SODIV-40669,1,3445
719,322,SODIV-40408,3,238
720,322,SODIV-40489,1,3718
721,323,SODIV-40287,1,1025
722,324,SODIV-40036,1,362
723,324,SODIV-40314,1,3891
724,324,SODIV-40341,1,1300
725,325,SODIV-40459,1,1850
726,325,SODIV-40208,3,660
727,325,SODIV-40502,1,3598
728,326,SODIV-40005,1,1932
729,326,SODIV-40345,1,3607
730,326,SODIV-40065,1,2241
731,326,SODIV-40471,5,3911
732,327,SODIV-40661,2,3554
733,328,SODIV-40536,1,2380
734,328,SODIV-40538,1,914
735,328,SODIV-40133,3,3763
736,328,SODIV-40216,1,2881
737,329,SODIV-40289,1,1523
738,329,SODIV-40061,1,1728
739,330,SODIV-40351,1,984
740,330,SODIV-40282,1,2550
741,330,SODIV-40084,1,2754
742,331,SODIV-40005,1,1932
743,331,SODIV-40351,2,984
744,331,SODIV-40015,1,3083
745,331,SODIV-40264,2,3477
746,331,SODIV-40247,5,3773
747,332,SODIV-40374,1,3651
748,333,SODIV-40151,1,2736
749,334,SODIV-40297,1,1899
750,335,SODIV-40238,2,2956
751,336,SODIV-40431,2,2979
752,336,SODIV-40531,1,1024
753,336,SODIV-40053,4,3003
754,336,SODIV-40386,1,1830
755,337,SODIV-40426,1,898
756,337,SODIV-40422,1,2029
757,337,SODIV-40558,1,2625
758,337,SODIV-40091,1,421
759,338,SODIV-40546,4,713
760,338,SODIV-40010,10,3253
761,338,SODIV-40287,1,1025
762,339,SODIV-40114,1,3622
763,339,SODIV-40038,1,3780
764,339,SODIV-40253,1,662
765,340,SODIV-40393,1,2534
766,340,SODIV-40655,1,3789
767,341,SODIV-40154,1,2695
768,341,SODIV-40408,3,238
769,341,SODIV-40032,1,1326
770,341,SODIV-40046,1,2357
771,342,SODIV-40099,1,83
772,342,SODIV-40624,2,2901
773,342,SODIV-40175,3,1448
774,343,SODIV-40098,1,817
775,343,SODIV-40163,10,1348
776,343,SODIV-40590,1,2628
777,344,SODIV-40050,1,1205
778,345,SODIV-40083,1,2585
779,345,SODIV-40055,1,1650
780,345,SODIV-40503,2,3144
781,345,SODIV-40297,1,1899
782,345,SODIV-40202,2,225
783,346,SODIV-40641,2,1833
784,347,SODIV-40269,4,2537
785,348,SODIV-40514,4,599
786,348,SODIV-40109,2,3406
787,349,SODIV-40188,1,3583
788,349,SODIV-40092,1,3218
789,350,SODIV-40129,2,2787
790,350,SODIV-40536,1,2380
791,351,SODIV-40286,1,1375
792,351,SODIV-40640,2,2982
793,351,SODIV-40124,1,514
794,352,SODIV-40622,4,2784
795,353,SODIV-40365,1,3508
796,354,SODIV-40346,4,2772
797,354,SODIV-40644,1,2202
798,354,SODIV-40552,4,3465
799,355,SODIV-40261,3,269
800,355,SODIV-40526,2,3607
801,355,SODIV-40605,3,2931
802,356,SODIV-40526,3,3607
803,356,SODIV-40126,4,2557
804,356,SODIV-40042,1,1726
805,357,SODIV-40530,3,1197
806,358,SODIV-40298,1,2119
807,358,SODIV-40148,1,2326
808,359,SODIV-40426,1,898
809,360,SODIV-40557,1,448
810,360,SODIV-40650,1,2005
811,361,SODIV-40065,1,2241
812,362,SODIV-40379,1,2650
813,362,SODIV-40603,5,3772
814,363,SODIV-40134,1,1853
815,364,SODIV-40388,1,2264
816,364,SODIV-40223,1,3674
817,364,SODIV-40098,1,817
818,365,SODIV-40409,1,3343
819,365,SODIV-40108,2,566
820,366,SODIV-40279,3,3702
821,366,SODIV-40608,1,529
822,366,SODIV-40388,10,2264
823,366,SODIV-40525,1,3426
824,367,SODIV-40279,4,3702
825,368,SODIV-40618,2,1752
826,368,SODIV-40500,5,2117
827,369,SODIV-40535,1,1215
828,369,SODIV-40511,2,1780
829,370,SODIV-40256,1,303
